runid	exp	study	word	seed	priority	epochs	nodes	rel	run_hours	warm_start_from	note
RF02.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z0.S01	RF02	references	D1_G0_I0_M1_N0_Q0_R0_Y0_Z0	01	1	30	4	0.48	47		deterministic pole: MSE, one member, no noise. Three seeds, because five arms difference against it and a one-seed reference has no spread
RF02.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z0.S02	RF02	references	D1_G0_I0_M1_N0_Q0_R0_Y0_Z0	02	1	30	4	0.48	47		deterministic pole: MSE, one member, no noise. Three seeds, because five arms difference against it and a one-seed reference has no spread
RF02.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z0.S03	RF02	references	D1_G0_I0_M1_N0_Q0_R0_Y0_Z0	03	1	30	4	0.48	47		deterministic pole: MSE, one member, no noise. Three seeds, because five arms difference against it and a one-seed reference has no spread
LG01.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z0.S01	LG01	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z0	01	2	30	4	0.48	47		MAE, no noise. LG01-RF02 is loss geometry alone, and it is PAIRED: neither arm changes the architecture, so both start from the same weights at a given seed
LG01.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z0.S02	LG01	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z0	02	2	30	4	0.48	47		MAE, no noise. LG01-RF02 is loss geometry alone, and it is PAIRED: neither arm changes the architecture, so both start from the same weights at a given seed
LG01.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z0.S03	LG01	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z0	03	2	30	4	0.48	47		MAE, no noise. LG01-RF02 is loss geometry alone, and it is PAIRED: neither arm changes the architecture, so both start from the same weights at a given seed
LG02.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z1.S01	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z1	01	2	30	4	0.48	47		MAE with noise wired. Also M1 of the pure-CRPS member sweep. Unpaired against LG01 -- adding the Z axis reshuffles the whole init stream
LG02.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z1.S02	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z1	02	2	30	4	0.48	47		MAE with noise wired. Also M1 of the pure-CRPS member sweep. Unpaired against LG01 -- adding the Z axis reshuffles the whole init stream
LG02.sep26.atm.D0_G1_I0_M1_N0_Q0_R0_Y0_Z1.S03	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R0_Y0_Z1	03	2	30	4	0.48	47		MAE with noise wired. Also M1 of the pure-CRPS member sweep. Unpaired against LG01 -- adding the Z axis reshuffles the whole init stream
LG03.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z1.S01	LG03	loss geometry	D1_G0_I0_M1_N0_Q0_R0_Y0_Z1	01	2	30	4	0.48	47		MSE with noise wired. LG03-RF02 and LG02-LG01 are the noise SIMPLE EFFECTS under MSE and under MAE, not two draws of one main effect; their difference is the loss-by-noise interaction
LG03.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z1.S02	LG03	loss geometry	D1_G0_I0_M1_N0_Q0_R0_Y0_Z1	02	2	30	4	0.48	47		MSE with noise wired. LG03-RF02 and LG02-LG01 are the noise SIMPLE EFFECTS under MSE and under MAE, not two draws of one main effect; their difference is the loss-by-noise interaction
LG03.sep26.atm.D1_G0_I0_M1_N0_Q0_R0_Y0_Z1.S03	LG03	loss geometry	D1_G0_I0_M1_N0_Q0_R0_Y0_Z1	03	2	30	4	0.48	47		MSE with noise wired. LG03-RF02 and LG02-LG01 are the noise SIMPLE EFFECTS under MSE and under MAE, not two draws of one main effect; their difference is the loss-by-noise interaction
