runid	exp	study	word	seed	priority	epochs	nodes	rel	run_hours	warm_start_from	note
BL01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z1.S01	BL01	baseline	D0_G0_I0_M2_N0_Q0_R4_Y0_Z1	01	1	30	4	1.52	114		sep26's RO04 word (sampled rollout to 20 steps, pure CRPS at two members) on sep26v3's full continuous dataset -- one of this pilot's two baselines, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
BL01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z1.S47	BL01	baseline	D0_G0_I0_M2_N0_Q0_R4_Y0_Z1	47	1	30	4	1.52	114		sep26's RO04 word (sampled rollout to 20 steps, pure CRPS at two members) on sep26v3's full continuous dataset -- one of this pilot's two baselines, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
BL01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z1.S82	BL01	baseline	D0_G0_I0_M2_N0_Q0_R4_Y0_Z1	82	1	30	4	1.52	114		sep26's RO04 word (sampled rollout to 20 steps, pure CRPS at two members) on sep26v3's full continuous dataset -- one of this pilot's two baselines, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
BL02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R2_Y0_Z0.S01	BL02	baseline	D1_G0_I0_M1_N0_Q0_R2_Y0_Z0	01	1	30	4	0.90	74		sep26's RO03 word with R2 instead of R1 (two steps, both scored) on the deterministic row (MSE, one member, no noise), on sep26v3's full continuous dataset -- this pilot's other baseline, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
BL02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R2_Y0_Z0.S47	BL02	baseline	D1_G0_I0_M1_N0_Q0_R2_Y0_Z0	47	1	30	4	0.90	74		sep26's RO03 word with R2 instead of R1 (two steps, both scored) on the deterministic row (MSE, one member, no noise), on sep26v3's full continuous dataset -- this pilot's other baseline, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
BL02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R2_Y0_Z0.S82	BL02	baseline	D1_G0_I0_M1_N0_Q0_R2_Y0_Z0	82	1	30	4	0.90	74		sep26's RO03 word with R2 instead of R1 (two steps, both scored) on the deterministic row (MSE, one member, no noise), on sep26v3's full continuous dataset -- this pilot's other baseline, rerun here after sep26v2's minimal 11-year sparse-dataset check. Three seeds for an error bar.
LG02.sep26v3.atm.D0_G1_I0_M1_N0_Q0_R4_Y0_Z1.S01	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R4_Y0_Z1	01	2	30	4	0.72	63		CRPS with a single ensemble member (MAE), with noise wired in but nothing in the M1 objective able to reward it, at BL01's rollout.
LG02.sep26v3.atm.D0_G1_I0_M1_N0_Q0_R4_Y0_Z1.S47	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R4_Y0_Z1	47	2	30	4	0.72	63		CRPS with a single ensemble member (MAE), with noise wired in but nothing in the M1 objective able to reward it, at BL01's rollout.
LG02.sep26v3.atm.D0_G1_I0_M1_N0_Q0_R4_Y0_Z1.S82	LG02	loss geometry	D0_G1_I0_M1_N0_Q0_R4_Y0_Z1	82	2	30	4	0.72	63		CRPS with a single ensemble member (MAE), with noise wired in but nothing in the M1 objective able to reward it, at BL01's rollout.
RO01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R2_Y0_Z1.S01	RO01	rollout	D0_G0_I0_M2_N0_Q0_R2_Y0_Z1	01	2	30	4	1.89	137		stochastic model (BL01's members/objective) at two steps, both scored, losses summed -- mimicking ACE2 training. RO01 - BL01 reads the sampled-vs-fixed rollout choice at a fixed two-step depth.
